StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Satisfaction_1,Satisfaction_2,Comments,Future
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"Overall, I am satisfied with - the content of the R workshop","Overall, I am satisfied with - the lecturer",Please write comments,"if a summer workshop with Avi Kluger will be offered on using R for HLM, SEM, and advanced topics, will you register?"
"{""ImportId"":""startDate"",""timeZone"":""Europe/Athens""}","{""ImportId"":""endDate"",""timeZone"":""Europe/Athens""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Europe/Athens""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1_1""}","{""ImportId"":""QID1_2""}","{""ImportId"":""QID2_TEXT""}","{""ImportId"":""QID3""}"
2019-01-31 08:58:39,2019-01-31 08:58:54,Survey Preview,,100,14,True,2019-01-31 08:58:54,R_1pVyRXsioeHlH6B,,,,,32.0666961669921875,34.766693115234375,preview,EN,,,,
2019-01-31 15:30:57,2019-01-31 15:31:17,IP Address,212.179.28.34,100,20,True,2019-01-31 15:31:18,R_2tvJgRZYuqcItyh,,,,,32.0666961669921875,34.766693115234375,anonymous,EN,8,8,,Yes
2019-01-31 15:31:08,2019-01-31 15:32:00,IP Address,212.179.28.34,100,51,True,2019-01-31 15:32:00,R_C22NIXH1M7mDGAV,,,,,32.0666961669921875,34.766693115234375,anonymous,EN,9,9,Great explanation of the background and logic of R,Yes
2019-01-31 15:32:03,2019-01-31 15:32:30,IP Address,212.179.28.34,100,27,True,2019-01-31 15:32:31,R_3iKFYBPpmLMfqYL,,,,,32.0666961669921875,34.766693115234375,anonymous,EN,9,Strongly agree 10,,Perhaps
2019-01-31 15:32:04,2019-01-31 15:32:34,IP Address,212.179.28.34,100,30,True,2019-01-31 15:32:35,R_2uUoV17Lx8UvdGE,,,,,32.0666961669921875,34.766693115234375,anonymous,EN,7,9,,No
2019-01-31 15:32:00,2019-01-31 15:32:41,IP Address,212.179.28.34,100,40,True,2019-01-31 15:32:41,R_3m3R1a9MSUpTlhT,,,,,32.0666961669921875,34.766693115234375,anonymous,EN,8,9,,Perhaps
2019-01-31 15:32:09,2019-01-31 15:32:47,IP Address,212.179.28.34,100,37,True,2019-01-31 15:32:47,R_1cTiLavyAxwCCqz,,,,,32.0666961669921875,34.766693115234375,anonymous,EN,8,Strongly agree 10,,Perhaps
2019-01-31 15:31:14,2019-01-31 15:33:26,IP Address,212.179.28.34,100,132,True,2019-01-31 15:33:27,R_2COMg0xeLSmN0ue,,,,,32.0666961669921875,34.766693115234375,anonymous,EN,8,8,"the material was relatively accessible for me due to previous basic knowledge of python (maybe it is something worth mentioning

Thank you Avi and Sarit",Yes
2019-01-31 15:33:06,2019-01-31 15:33:44,IP Address,212.179.28.34,100,38,True,2019-01-31 15:33:45,R_1QzpxK5cw6kXOAI,,,,,32.0666961669921875,34.766693115234375,anonymous,EN,Strongly agree 10,Strongly agree 10,,Yes
2019-01-31 15:32:17,2019-01-31 15:34:14,IP Address,212.179.28.34,100,116,True,2019-01-31 15:34:14,R_3fTp3lpKOokzGCi,,,,,32.0666961669921875,34.766693115234375,anonymous,EN,8,6,pretty overwhelming when no experience at all with R but very useful to get an overview and a first idea on the logic and how it  runs,Perhaps
2019-01-31 15:33:31,2019-01-31 15:34:18,IP Address,212.179.28.34,100,46,True,2019-01-31 15:34:18,R_3sXvvRKpzWmuwyR,,,,,32.0666961669921875,34.766693115234375,anonymous,EN,Strongly agree 10,9,,Perhaps
2019-01-31 15:32:10,2019-01-31 15:34:28,IP Address,212.179.28.34,100,138,True,2019-01-31 15:34:29,R_0vVMLfvn1qXVk2J,,,,,32.0666961669921875,34.766693115234375,anonymous,EN,8,Strongly agree 10,אולי כדאי לסדנאות הבאות לשלוח לאנשים שיעורי בית לפני הסדנה על מנת לעשות יישור קו וכמו כן לעבוד על אותו הדאטה לצורך הלמידה בזמן הקורס.,No
2019-01-31 15:31:59,2019-01-31 15:34:38,IP Address,212.179.28.34,100,159,True,2019-01-31 15:34:39,R_3Rrb8KWXeQ2Fhld,,,,,32.0666961669921875,34.766693115234375,anonymous,EN,7,8,"התרגול ביום השלישי וההכוונה בו היו מעולים , הפתיחה ביום הראשון גם היתה טובה אבל ביום השני אני הלכתי לאיבוד בתכנות וחושבת שאחרים שאין להם רקע גם הלכו לאיבוד ביום זה",Perhaps
2019-01-31 15:31:02,2019-01-31 15:34:41,IP Address,212.179.28.34,100,218,True,2019-01-31 15:34:41,R_3nUWYrKhGtXcOiR,,,,,32.0666961669921875,34.766693115234375,anonymous,EN,7,9,"too many participants should take place in smaller classes- otherwise, there is not enough individual help.",Perhaps
2019-01-31 15:34:01,2019-01-31 15:34:42,IP Address,212.179.28.34,100,40,True,2019-01-31 15:34:42,R_1QrQY4L0NYQB7cc,,,,,32.0666961669921875,34.766693115234375,anonymous,EN,9,9,,Perhaps
2019-01-31 15:31:58,2019-01-31 15:35:16,IP Address,212.179.28.34,100,198,True,2019-01-31 15:35:16,R_3ffmmHBNzWaycgM,,,,,32.0666961669921875,34.766693115234375,anonymous,EN,8,Strongly agree 10,I would print out a glossary and give it to the students prior to the course. I also would make sure that people understand the basics before moving on to other subjects.,Perhaps
2019-01-31 15:31:25,2019-01-31 15:36:07,IP Address,212.179.28.34,100,282,True,2019-01-31 15:36:07,R_22Rmtc9nqv3wAjI,,,,,32.0666961669921875,34.766693115234375,anonymous,EN,8,7,"The workshop was really good. It opened a new set of options but mainly made me think in a more complex way. I would recommend to start by presenting a very simple database (CSV file) so the names of the variables during the workshop would be more familiar and simple.
Thank you  ",Perhaps
2019-01-31 15:32:28,2019-01-31 15:36:15,IP Address,212.179.28.34,100,227,True,2019-01-31 15:36:15,R_1IEMMQUKBWaSkgz,,,,,32.0666961669921875,34.766693115234375,anonymous,EN,8,7,"I believe if the workshop included more time for ""guided practice"" as we has today it would be more beneficial. Thank you and thanks Sarit for all the patience.",Yes
2019-01-31 15:31:38,2019-01-31 15:37:19,IP Address,212.179.28.34,100,340,True,2019-01-31 15:37:19,R_R35eOQb888ezPEt,,,,,32.0666961669921875,34.766693115234375,anonymous,EN,4,4,"First of all thank you! Your dedication to our learning is really appreciated. Nevertheless, I think the class was too big, with discrepancies between the students. That made the learning too challenging. It is possible that my expectations were too high but for that price, I expected more than what we got. ",No
2019-01-31 15:31:14,2019-01-31 15:49:54,IP Address,212.179.28.34,100,1119,True,2019-01-31 15:49:55,R_2VF3OVHOq8BeUpm,,,,,32.0666961669921875,34.766693115234375,anonymous,EN,7,Strongly agree 10,,Perhaps
2019-01-31 15:31:59,2019-01-31 17:51:45,IP Address,141.226.246.181,100,8386,True,2019-01-31 17:51:46,R_TcqybWks1Cb0Fr3,,,,,32.0666961669921875,34.766693115234375,anonymous,EN,7,9,"This was a great introduction to R and I am confident that I will be able to use R in the future, but I found the workshop a bit overwhelming for a beginner and I'm not sure how much I have retained. You said a lot of things were very important, but I'm not sure I'll remember them as we didn't take notes or get notes. It might have been nice if there were concrete exercises on the same dataset to try throughout the workshop in between the lectures (at least every hour) -  for example, you show us how to construct a scale, then we practice constructing a scale. ",Perhaps
2019-02-03 11:40:03,2019-02-03 11:46:10,IP Address,94.188.162.58,100,367,True,2019-02-03 11:46:10,R_8uffLN5KSCGFbpf,,,,,32.0666961669921875,34.766693115234375,anonymous,EN,6,3,"it was too fast, and too messy for people with no background at all. the choice of the study was a bit problematic because there was a lot of data and if a smaller set would have been chosen i think i would have been able to follow through more. there was also a lot of content to learn and at the end of each class it was even faster. i think it should have been with less content and slower explained. The assistant was a great help, but it was impossible to sit with her when new material was presented so overall i felt most of the time that i cannot follow. I have no programming background. ",No
2019-02-07 14:38:20,2019-02-07 14:38:51,IP Address,132.64.32.135,100,30,True,2019-02-07 14:38:52,R_1mpUwhq3U7qqeZM,,,,,31.779998779296875,35.2299957275390625,anonymous,EN,Strongly agree 10,Strongly agree 10,,Yes
2019-02-07 14:38:38,2019-02-07 14:39:06,IP Address,109.253.210.115,100,27,True,2019-02-07 14:39:06,R_2ZTTidhNVM43jUR,,,,,32.0666961669921875,34.766693115234375,anonymous,EN,Strongly agree 10,Strongly agree 10,,Perhaps
2019-02-07 14:38:29,2019-02-07 14:39:11,IP Address,192.114.91.245,100,41,True,2019-02-07 14:39:11,R_10SNULGSe0vkooy,,,,,31.779998779296875,35.2299957275390625,anonymous,EN,Strongly agree 10,Strongly agree 10,THANKS,Yes
2019-02-07 14:38:41,2019-02-07 14:39:14,IP Address,192.114.91.244,100,32,True,2019-02-07 14:39:14,R_Z1t5cChvWZVDYMp,,,,,31.779998779296875,35.2299957275390625,anonymous,EN,Strongly agree 10,Strongly agree 10,,Yes
2019-02-07 14:38:26,2019-02-07 14:39:22,IP Address,192.114.91.248,100,55,True,2019-02-07 14:39:22,R_1EWgDVTXJREmLTs,,,,,31.779998779296875,35.2299957275390625,anonymous,EN,Strongly agree 10,Strongly agree 10,Thanks a lot! It was an incredible experience!,Yes
2019-02-07 14:38:36,2019-02-07 14:39:25,IP Address,192.114.91.246,100,49,True,2019-02-07 14:39:26,R_qRa5rIdylkVPbmF,,,,,31.779998779296875,35.2299957275390625,anonymous,EN,8,Strongly agree 10,Slowly please. Thank you!,Perhaps
2019-02-07 14:38:36,2019-02-07 14:39:26,IP Address,192.114.91.244,100,49,True,2019-02-07 14:39:26,R_1fadLlaXY5nZGjd,,,,,31.779998779296875,35.2299957275390625,anonymous,EN,7,8,,Perhaps
2019-02-07 14:39:07,2019-02-07 14:39:27,IP Address,192.114.91.244,100,20,True,2019-02-07 14:39:28,R_bsINYd6Yu25NxEB,,,,,31.779998779296875,35.2299957275390625,anonymous,EN,Strongly agree 10,Strongly agree 10,,Perhaps
2019-02-07 14:38:50,2019-02-07 14:39:32,IP Address,192.114.91.248,100,42,True,2019-02-07 14:39:33,R_3qPBs0fBCas5YHl,,,,,31.779998779296875,35.2299957275390625,anonymous,EN,Strongly agree 10,Strongly agree 10,Great lecturer and very relevant content - extremely helpful codes in R!,Perhaps
2019-02-07 14:38:38,2019-02-07 14:39:34,IP Address,192.114.91.247,100,56,True,2019-02-07 14:39:35,R_Uy95EyBKpS6gQ93,,,,,31.779998779296875,35.2299957275390625,anonymous,EN,7,Strongly agree 10,,Yes
2019-02-07 14:38:16,2019-02-07 14:39:50,IP Address,192.114.91.246,100,93,True,2019-02-07 14:39:50,R_1GZI6KRq5MzaTYq,,,,,31.779998779296875,35.2299957275390625,anonymous,EN,9,Strongly agree 10,"We need more examples with Repeated Measures, with more variables",Yes
2019-02-07 14:38:30,2019-02-07 14:39:54,IP Address,192.114.91.247,100,83,True,2019-02-07 14:39:55,R_25G6JWx3VF5IbK0,,,,,31.779998779296875,35.2299957275390625,anonymous,EN,8,Strongly agree 10,"היה חסר יותר תרגול של הפקודות / מונחים הבסיסיים, ואפשר היה לוותר כנראה על החלקים היותר מורכבים ולהשאיר אותם ללימוד עצמי",No
2019-02-07 14:39:15,2019-02-07 14:40:24,IP Address,132.64.38.193,100,68,True,2019-02-07 14:40:24,R_2BxuxSzcQUjUgUA,,,,,31.779998779296875,35.2299957275390625,anonymous,EN,7,8,"more time to practice our own data will be helpful. In general, more practice will help the material to sit down",Perhaps
2019-02-07 14:39:24,2019-02-07 14:40:26,Spam,192.114.91.244,100,61,True,2019-02-07 14:40:26,R_1eqocmEu8jnIm6G,,,,,31.779998779296875,35.2299957275390625,anonymous,EN,Strongly agree 10,Strongly agree 10,,Yes
2019-02-07 14:38:26,2019-02-07 14:40:38,IP Address,192.114.91.247,100,132,True,2019-02-07 14:40:38,R_2EmYjoV2b3zNQRO,,,,,31.779998779296875,35.2299957275390625,anonymous,EN,7,8,need more practice,Yes
2019-02-07 14:38:37,2019-02-07 14:40:39,IP Address,132.64.28.190,100,122,True,2019-02-07 14:40:39,R_1OjygVoHeC1wg6u,,,,,31.779998779296875,35.2299957275390625,anonymous,EN,Strongly agree 10,Strongly agree 10,"Excellent course, gives good tools to work with R. Thanks!",Yes
2019-02-07 14:38:31,2019-02-07 14:40:46,IP Address,192.114.91.246,100,134,True,2019-02-07 14:40:46,R_1CjQQQ2eHkxRPDb,,,,,31.779998779296875,35.2299957275390625,anonymous,EN,7,8,"I recommend adding short exercises so the students implement and practice the ""language"". ",Perhaps
2019-02-07 14:38:26,2019-02-07 14:40:52,IP Address,132.64.34.227,100,145,True,2019-02-07 14:40:52,R_0IdVTytCnKTyLhD,,,,,31.779998779296875,35.2299957275390625,anonymous,EN,8,Strongly agree 10,,Perhaps
2019-02-07 14:39:01,2019-02-07 14:41:15,IP Address,192.114.91.246,100,134,True,2019-02-07 14:41:16,R_2ya9OH03QpNtPxX,,,,,31.779998779296875,35.2299957275390625,anonymous,EN,9,Strongly agree 10,"Excellent, thank you. 
It appeared that almost none of the participants practiced at home, which led to slower learning progress (for those who DID practiced) - maybe to adjust expectations at the beginning of the course..?",Perhaps
2019-02-07 16:40:16,2019-02-07 16:43:05,IP Address,2.53.23.156,100,169,True,2019-02-07 16:43:05,R_2B5P9GI15gfTtmw,,,,,32.0807037353515625,34.83380126953125,anonymous,EN,Strongly agree 10,Strongly agree 10,Good material that is very helpful for independent code waiting,Perhaps
